arrivaldate,arrivalstation,crawler,departuredate,departurestation,fullfare,productclass,scandate,trajeto
2025-03-02T12:35:00,CGH,gol,2025-03-02T11:20:00,GIG,1204.0,PL,19-12-2024,volta
2025-03-02T12:35:00,CGH,gol,2025-03-02T11:20:00,GIG,1359.0,MX,19-12-2024,volta
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,1079.0,LT,19-12-2024,volta
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,1204.0,PL,19-12-2024,volta
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,1359.0,MX,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,1079.0,LT,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,1204.0,PL,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,1359.0,MX,19-12-2024,volta
2025-02-22T14:50:00,CNF,gol,2025-02-22T13:05:00,SSA,615.17,LT,19-12-2024,ida
2025-02-22T14:50:00,CNF,gol,2025-02-22T13:05:00,SSA,740.17,PL,19-12-2024,ida
2025-02-22T14:50:00,CNF,gol,2025-02-22T13:05:00,SSA,890.17,MX,19-12-2024,ida
2025-02-22T20:35:00,CNF,gol,2025-02-22T18:50:00,SSA,615.17,LT,19-12-2024,ida
2025-02-22T20:35:00,CNF,gol,2025-02-22T18:50:00,SSA,740.17,PL,19-12-2024,ida
2025-02-22T20:35:00,CNF,gol,2025-02-22T18:50:00,SSA,890.17,MX,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1236.17,LT,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1361.17,PL,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1521.17,MX,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1190.17,LT,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1315.17,PL,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1475.17,MX,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,725.17,LT,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,850.17,PL,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1005.17,MX,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,1357.17,LT,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,1482.17,PL,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,1642.17,MX,19-12-2024,ida
2025-02-22T20:55:00,GIG,gol,2025-02-22T18:45:00,SSA,1357.17,LT,19-12-2024,ida
2025-02-22T20:55:00,GIG,gol,2025-02-22T18:45:00,SSA,1482.17,PL,19-12-2024,ida
2025-02-22T20:55:00,GIG,gol,2025-02-22T18:45:00,SSA,1642.17,MX,19-12-2024,ida
2025-03-02T12:25:00,SSA,gol,2025-03-02T10:40:00,CNF,1708.59,LT,19-12-2024,volta
2025-03-02T12:25:00,SSA,gol,2025-03-02T10:40:00,CNF,1833.59,PL,19-12-2024,volta
2025-03-02T12:25:00,SSA,gol,2025-03-02T10:40:00,CNF,2003.59,MX,19-12-2024,volta
2025-03-02T16:55:00,SSA,gol,2025-03-02T15:10:00,CNF,1223.59,LT,19-12-2024,volta
2025-03-02T16:55:00,SSA,gol,2025-03-02T15:10:00,CNF,1348.59,PL,19-12-2024,volta
2025-03-02T16:55:00,SSA,gol,2025-03-02T15:10:00,CNF,1508.59,MX,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,2047.59,LT,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,2172.59,PL,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,2342.59,MX,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,1223.59,LT,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,1348.59,PL,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,1508.59,MX,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1344.59,LT,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1469.59,PL,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1629.59,MX,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1223.59,LT,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1348.59,PL,19-12-2024,volta
2025-03-02T07:55:00,BSB,gol,2025-03-02T06:35:00,CNF,1508.59,MX,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,2896.59,LT,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,3021.59,PL,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,3191.59,MX,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,1344.59,LT,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,1469.59,PL,19-12-2024,volta
2025-03-02T11:05:00,GIG,gol,2025-03-02T09:55:00,CNF,1629.59,MX,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1223.59,LT,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1348.59,PL,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1508.59,MX,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1344.59,LT,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1469.59,PL,19-12-2024,volta
2025-03-02T11:40:00,CGH,gol,2025-03-02T10:20:00,CNF,1629.59,MX,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,1223.59,LT,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,1348.59,PL,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,1508.59,MX,19-12-2024,volta
2025-02-22T08:00:00,BSB,gol,2025-02-22T06:00:00,SSA,1038.17,LT,19-12-2024,ida
2025-02-22T08:00:00,BSB,gol,2025-02-22T06:00:00,SSA,1163.17,PL,19-12-2024,ida
2025-02-22T08:00:00,BSB,gol,2025-02-22T06:00:00,SSA,1318.17,MX,19-12-2024,ida
2025-02-22T17:10:00,BSB,gol,2025-02-22T15:10:00,SSA,492.17,LT,19-12-2024,ida
2025-02-22T17:10:00,BSB,gol,2025-02-22T15:10:00,SSA,617.17,PL,19-12-2024,ida
2025-02-22T17:10:00,BSB,gol,2025-02-22T15:10:00,SSA,767.17,MX,19-12-2024,ida
2025-02-22T19:20:00,BSB,gol,2025-02-22T17:20:00,SSA,1038.17,LT,19-12-2024,ida
2025-02-22T19:20:00,BSB,gol,2025-02-22T17:20:00,SSA,1163.17,PL,19-12-2024,ida
2025-02-22T19:20:00,BSB,gol,2025-02-22T17:20:00,SSA,1318.17,MX,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T07:35:00,CGH,gol,2025-02-22T05:05:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T08:05:00,GRU,gol,2025-02-22T05:40:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T09:40:00,CGH,gol,2025-02-22T07:00:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T09:40:00,CGH,gol,2025-02-22T07:00:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T09:40:00,CGH,gol,2025-02-22T07:00:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T12:00:00,CGH,gol,2025-02-22T09:20:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T12:50:00,CGH,gol,2025-02-22T10:15:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T13:05:00,GIG,gol,2025-02-22T10:55:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T13:50:00,GIG,gol,2025-02-22T11:40:00,SSA,1423.17,MX,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,1912.17,LT,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,2037.17,PL,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,2207.17,MX,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,1912.17,LT,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,2037.17,PL,19-12-2024,ida
2025-02-22T14:15:00,GRU,gol,2025-02-22T11:55:00,SSA,2207.17,MX,19-12-2024,ida
2025-02-22T20:40:00,GRU,gol,2025-02-22T18:10:00,SSA,3043.17,LT,19-12-2024,ida
2025-02-22T20:40:00,GRU,gol,2025-02-22T18:10:00,SSA,3168.17,PL,19-12-2024,ida
2025-02-22T20:40:00,GRU,gol,2025-02-22T18:10:00,SSA,3338.17,MX,19-12-2024,ida
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,1138.17,LT,19-12-2024,ida
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,1263.17,PL,19-12-2024,ida
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,1423.17,MX,19-12-2024,ida
2025-03-02T10:55:00,SSA,gol,2025-03-02T09:00:00,BSB,2028.85,LT,19-12-2024,volta
2025-03-02T10:55:00,SSA,gol,2025-03-02T09:00:00,BSB,2153.85,PL,19-12-2024,volta
2025-03-02T10:55:00,SSA,gol,2025-03-02T09:00:00,BSB,2323.85,MX,19-12-2024,volta
2025-03-02T14:10:00,SSA,gol,2025-03-02T12:10:00,BSB,1162.85,LT,19-12-2024,volta
2025-03-02T14:10:00,SSA,gol,2025-03-02T12:10:00,BSB,1287.85,PL,19-12-2024,volta
2025-03-02T14:10:00,SSA,gol,2025-03-02T12:10:00,BSB,1447.85,MX,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T08:05:00,GRU,gol,2025-03-02T06:15:00,BSB,1718.85,MX,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T09:45:00,CNF,gol,2025-03-02T08:20:00,BSB,1718.85,MX,19-12-2024,volta
2025-03-02T11:05:00,SLZ,gol,2025-03-02T08:35:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T11:05:00,SLZ,gol,2025-03-02T08:35:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T11:05:00,SLZ,gol,2025-03-02T08:35:00,BSB,1718.85,MX,19-12-2024,volta
2025-03-02T11:25:00,NAT,gol,2025-03-02T08:40:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T11:25:00,NAT,gol,2025-03-02T08:40:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T11:25:00,NAT,gol,2025-03-02T08:40:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T11:15:00,FOR,gol,2025-03-02T08:40:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T11:15:00,FOR,gol,2025-03-02T08:40:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T11:15:00,FOR,gol,2025-03-02T08:40:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T11:25:00,JPA,gol,2025-03-02T08:45:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T11:25:00,JPA,gol,2025-03-02T08:45:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T11:25:00,JPA,gol,2025-03-02T08:45:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T10:45:00,CGH,gol,2025-03-02T08:50:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T10:45:00,CGH,gol,2025-03-02T08:50:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T10:45:00,CGH,gol,2025-03-02T08:50:00,BSB,1718.85,MX,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,1898.85,LT,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,2023.85,PL,19-12-2024,volta
2025-03-02T10:45:00,GIG,gol,2025-03-02T08:55:00,BSB,2193.85,MX,19-12-2024,volta
2025-03-02T11:50:00,REC,gol,2025-03-02T09:05:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T11:50:00,REC,gol,2025-03-02T09:05:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T11:50:00,REC,gol,2025-03-02T09:05:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T10:00:00,GYN,gol,2025-03-02T09:10:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T10:00:00,GYN,gol,2025-03-02T09:10:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T10:00:00,GYN,gol,2025-03-02T09:10:00,BSB,1718.85,MX,19-12-2024,volta
2025-03-02T11:50:00,MCZ,gol,2025-03-02T09:25:00,BSB,2834.85,LT,19-12-2024,volta
2025-03-02T11:50:00,MCZ,gol,2025-03-02T09:25:00,BSB,2959.85,PL,19-12-2024,volta
2025-03-02T11:50:00,MCZ,gol,2025-03-02T09:25:00,BSB,3129.85,MX,19-12-2024,volta
2025-03-02T19:15:00,GIG,gol,2025-03-02T17:25:00,BSB,1433.85,LT,19-12-2024,volta
2025-03-02T19:15:00,GIG,gol,2025-03-02T17:25:00,BSB,1558.85,PL,19-12-2024,volta
2025-03-02T19:15:00,GIG,gol,2025-03-02T17:25:00,BSB,1718.85,MX,19-12-2024,volta
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,863.17,LT,19-12-2024,ida
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,988.17,PL,19-12-2024,ida
2025-02-22T21:10:00,FOR,gol,2025-02-22T19:20:00,SSA,1143.17,MX,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,987.17,LT,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,1112.17,PL,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,1267.17,MX,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,987.17,LT,19-12-2024,ida
2025-02-22T06:10:00,GIG,gol,2025-02-22T04:00:00,SSA,1112.17,PL,19-12-2024,ida
